id,name,code,region,commune,area_hectares,designation_date,ramsar_criteria_met,description_ecological,description_physical,hydrology_summary,climate_summary,land_use_current,land_use_adjacent,social_cultural_values,conservation_measures_taken,conservation_measures_proposed,threats_anthropogenic,threats_natural,contacts,geometry,data_source_id,created_at,updated_at
11,Gouweylitt,,Trarza,R'Kiz,,,,,,Permanent,,"La pêche est pratiquée pendant toutes les périodes. Le village de Gweylitt vie principalement de la pêche. 
	L'agriculture est très présente autour de cette zone humide. Il s'agit principalement de rizicultures irrigué ainsi que du maraichage",,Le principal problème pour les populations et leurs activités est la présence des hippopotames.,,•	Les populations proposent de déplacer les hippopotames ou de les éliminer car ils out tuer une personne et baissés un enfant à Gani et un autre pécheur à Gouweylitt.  Ces animaux constituent une grande menace pour les pêcheurs et rend leurs ac,"(culture de décru et maraichage, surpâturage, utilisation excessive de l'eau, urbanisation exploitation de la nappe phréatique, coupe des arbres, élevage, braconnage, pêche, élagage et émondage, charbon de bois, sédentarisation, pêche)
Le brac","(Erosion, ensablement, dunes mobiles, destruction des habitats, pertes de biodiversité, envasement …) 
La menace d'ensablement est faible car la zone humide a été curée en 2019 et depuis l'eau est permanente.","Pathé Djiby Sy 41156753-32728333
Maodo lo 41511653
Hamedine lo 49840570
Babacar Gueye 41329118",,1,2025-06-04 14:29:44.803851+00:00,2025-06-04 14:29:44.805034+00:00
12,Laeweija,,Trarza,Teychtayatt,,,,,,Permanent,,"L'agriculture dans cette zone humide concerne principalement le maraichage, les cultures de niébé, Mangues, Bananes, citrons, palmier dattier. 
	La pêche est pratiquée par la population locale, les localités de autres villages de la région et de",,,,"•	Réaliser une formation en pêche et fournir un appui matériel, pirogue (motorisée), filets, hameçon, pour le séchage du poisson et frigidaire. 
•	Réaliser une formation en pisciculture et mise en place d'une unité de production piscicole.","(culture de décru et maraichage, surpâturage, utilisation excessive de l'eau, urbanisation exploitation de la nappe phréatique, coupe des arbres, élevage, braconnage, pêche, élagage et émondage, charbon de bois, sédentarisation, pêche).  Les Ã","Menaces naturelles : (Erosion, ensablement, dunes mobiles, destruction des habitats, pertes de biodiversité, envasement …) : 
Il y'a un ensablement autour de la zone humide principalement au niveau des zones agricoles.","Athigh ould Bah 47403625
Brahim ould Bah 42004188",,1,2025-06-04 14:29:44.803851+00:00,2025-06-04 14:29:44.805034+00:00
13,Djéllouar,,Brakna,Djéllouar,,,,,,permanent,,La pêche est une activité qui est réalisée en saison sèche par les pécheurs venant d'ailleurs. Les produits de la pêche sont revendus à la population locale. La population locale n'a pas de connaissance sur la pêche cependant elle consomme,,,,"•	Formation sur la pêche et appui en matériel de pêche. 
•	Appui en pirogue traditionnelle et Frigidaire. 
•	Besoin de clôture et matériel pour l'agriculture, semence et matériel traction animale.","(culture de décru et maraichage, surpâturage, utilisation excessive de l'eau, urbanisation exploitation de la nappe phréatique, coupe des arbres, élevage, braconnage, pêche, élagage et émondage, charbon de bois, sédentarisation, pêche)
Il y'","(Erosion, ensablement, dunes mobiles, destruction des habitats, perte de biodiversité, envasement ……) : 
Pas de menace","Ethmane ould Boylil: 46 44 53 51
Mokhtar ould Jara: 46 75 34 50",,1,2025-06-04 14:29:44.803851+00:00,2025-06-04 14:29:44.805034+00:00
14,Lac d'Aleg,,Brakna,Aleg,,,,,,non permanent   10 mois (s'assèche deux mois avant les pluies),,"Les cultures de sorgho, Niébé cherkach sont les principales productions. 
	Les animaux de toute la zone s'abreuvent au niveau du lac d'Aleg et profitent des pâturages autour. 
	Il n'y'a pas d'activité de pêche depuis deux ans.",,,,"•	Appui en clôture et matériels agricoles et intrants pour l'agriculture de décrue 
•	Appui en fourrage en période sèche 
•	Mener une sensibilisation contre la pollution du lac par les déchets.","(culture de décru et maraichage, surpâturage, utilisation excessive de l'eau, urbanisation exploitation de la nappe phréatique, coupe des arbres, élevage, braconnage, pêche, élagage et émondage, charbon de bois, sédentarisation, pêche) 
Le bra","(Erosion, ensablement, dunes mobiles, destruction des habitats, pertes de biodiversité, envasement ……) :
Perte de biodiversité principalement les oiseaux",Yihdiha mint Yargeyt  Jemea mint Yargueyt 36013328 Cheikh Mouhamed Amar Bilal : 46537935/34537935,,1,2025-06-04 14:29:44.803851+00:00,2025-06-04 14:29:44.805034+00:00
15,Lac de Mâl,,Brakna,Mâl,,,,,,Le lac est permanent la zone nord ne tarit pas sauf en période de sècheresse prolongée,,"La culture de sorgho, niébé, maïs, pastèque, déné boudi et différentes spéculations maraichères sont réalisées au abord du lac. 
	La pêche est une activité pratiquée depuis des années par la population locale qui en tirent des revenus sup",,"Le lac de Mâl prend sa source de appartir de Bouval en passant par Lkhteit, Leyen, Agneytir, Khêt lakhdhar et levreyeatt puis déverse dans Erem lekbir, Erem leseqir, Kra lbkhaniss, Deli lesqir et Deli lekbir.",,"Formation sur la pêche et un appui en matériel, transformation et la vente, Frigo, mise en place d'une unité de transformation, zone de séchage 
	Appuyer les agriculteurs qui sont organisés autour de 4 coopératives en produits de lutte contre le","(culture de décru et maraichage, surpâturage, utilisation excessif de l'eau, urbanisation, exploitation de la nappe phréatiques, coupes des arbres, élevage, braconnage, pêche, élagage et émondage, charbon de bois, sédentarisation, pêche). Le b","(Erosion, ensablement, dunes mobiles, destruction des habitats, perte de biodiversité, envasement…) 

Il y avait un problème d'ensablement qui a été stoppé par la fixation biologique à base de Prosopis juliflora depuis des années. Aucun envahi","Ahmed Ould Hamessa – 37392148
	Président de l'association locale des pécheurs – Souleymane Ould Seyni 46095589",,1,2025-06-04 14:29:44.803851+00:00,2025-06-04 14:29:44.805034+00:00
16,Keybi,,Hodh El Chargui,Koumbi Saleh,,,,,,Juin à Mai,,"L'agriculture pratiquée concerne seulement, le sorgho et le niébé. 
	La population locale ne s'interessant pas à la pêche, le poisson est pêché par les maliens puis exporté au Mali gracieusement. 
	Les eleveurs de tous les Hodhs s'abriter",,"L'eau Vient de l'Est, Oued Guete et Teijett. Au Sud Oued Jarel Kherch, Oued Jar Teychett",,"Installation d'un réseau d'eau potable pour la localité. 
	Les eleveures sollicitent la culture fourragére.
	Founiture de clotures pour les agriculteutrs.
	Mettre en place des barrages pour les cultares d'arriere barrage.
	Appuyer les agriculte",Coupe pour la carbonisation et l'érection de clotures.,Aucun probléme n'est à déplorer,"Chekroud ould Mohamed Vall 27016957
	Ali ould Mah 22 64 25 81
	Bate ould Dahmed 26 5259 82 
	EL Kebir ould Jaber 22 66 17 13",,1,2025-06-04 14:29:44.803851+00:00,2025-06-04 14:29:44.805034+00:00
17,Chlem,,Hodh El Gharbi,Oum Lahyadh,,,,,,Juin à Fevrier habituellement mais en absense d'eau elle tarit en décembre,,"L'agriculture n'est plus pratiquée car les population actives ne sont plus présentes sur place. 
	Il n'ya que l'élevage qui est pratiqué dans la zone humide.
	Il n'ya pas d'activtés de pêches dans la zone humide car il n'ya pas de po",,La zone humide de Chlem est typiquement une zone pastorale.,,"Appuyer la surveillance pour la lutte contre la carbonisation et le braconnage. 
	Curage de la mare et des cours d'eau qui l'alimentent.
	Elimination du barrage (Digue) mis en place à l'Est et obstruant l'arriver de l'eau dans la mare. 
	Mett","(culture de décru et maraichage, surpâturage, utilisation excessif de l'eau, urbanisation, exploitation de la nappe phréatiques, coupes des arbres, élevage, braconnage, pêche, élagage et émondage, charbon de bois, sédentarisation, pêche)

	Sé","(Erosion, ensablement, dunes mobiles, destruction des habitats, perte de biodiversité, envasement…) 

La mare est en situation d'envasement avancé.",Mahfoudh ould sidi Mokhtar   48564045,,1,2025-06-04 14:29:44.803851+00:00,2025-06-04 14:29:44.805034+00:00
18,Tally Lekhdar,,Hodh El Gharbi,Kobenni,,,,,,Aout à Juin 11 Mois,,"L'élevage est très pratiqué dans cette zone humide qui constitue un enorme refuge en saison séche particuliérement pour les bovins.
	Les cultures de sorgho, niébé, henna, Tomate et nana sont pratiquées
	La pêche est une activité qui n'est",,,,"Appuyer la surveillance contre la coupe et le braconnage 
	Fournir du grillage pour les Agriculteurs et des intrants 
	Installer des puits pastoraux
	Realiser des formations sur la pèche et la transformation des produits halieutiques. 
	Appui en Matér","(culture de décru et maraichage, surpâturage, utilisation excessif de l'eau, urbanisation, exploitation de la nappe phréatiques, coupes des arbres, élevage, braconnage, pêche, élagage et émondage, charbon de bois, sédentarisation, pêche)

Les","(Erosion, ensablement, dunes mobiles, destruction des habitats, perte de biodiversité, envasement…)
 
La mort des Acacia nilotica quand l'eau est restée longtemps sur les pieds en plus de la coupe, les cours d'eau qui alimentent mare sont ensevel","Hassene ould Baha 44014837
Sileye Djiby Dia 
Boubacar Alioune Ba 42262802",,1,2025-06-04 14:29:44.803851+00:00,2025-06-04 14:29:44.805034+00:00
19,Tough,,Hodh El Chargui,Mavnadech,,,,,,Permanant mais tarit en cas de mauvaise pluviometrie,,"Il s'y exerce la culture de sorgho, niébé, petit mil, maraichère et palmier dattier. 
	La pêche est une activité qui ne se pratique pas par la population locale et les produits de la pêche ne sont pas prisés par ces derniers. La pêche est excl",,L'eau de la zone humide provient de l'Est au niveau de l'Oued Slelihi,,"Fournir un appui en cloture et intrants pour les agriculteurs 
	Fournir du materiel de pompade pour l'irrigation
	Realiser une formation en péche et un appui en matériel de pêche. 
	Mettre en place des moyens de prophylaxie (vaccin) parc de vaccina","(culture de décru et maraichage, surpâturage, utilisation excessif de l'eau, urbanisation, exploitation de la nappe phréatiques, coupes des arbres, élevage, braconnage, pêche, élagage et émondage, charbon de bois, sédentarisation, pêche) -Il y","(Erosion, ensablement, dunes mobiles, destruction des habitats, perte de biodiversité, envasement…). Envasement en cours mais pas très important.","Sidi Oumar Ould Boybacar 44736912
	Sidi Ould Mohamed Moylil",,1,2025-06-04 14:29:44.803851+00:00,2025-06-04 14:29:44.805034+00:00
20,Demberi,,Hodh El Gharbi,Tintane,,,,,,Permanent,,"L'agriculture est pratiquée au nord de la zone humide. Il s'agit principalement de niébé, sorgho, maïs, blé et maraichage.
	La pêche est pratiquée par les maliens au niveau de la mare gratuitement et l'ensemble de la production est exporté",,,,"Fourniture de clotures pour les agriculteurs contre le betail et autre aléas 
	Appuyer les agriculteurs en intrants et matériel en plus d'un encadrement technique. 
	Dédié le côté nord de la zone humide à l'abreuvement du betail.
	Appuyer les","(culture de décru et maraichage, surpâturage, utilisation excessif de l'eau, urbanisation, exploitation de la nappe phréatiques, coupes des arbres, élevage, braconnage, pêche, élagage et émondage, charbon de bois, sédentarisation, pêche). La c","(Erosion, ensablement, dunes mobiles, destruction des habitats, perte de biodiversité, envasement…). Aucun probléme particulier n'a été souligné.","Mohamed Vateghme 46442646
	Sidi ould bilal 48086189",,1,2025-06-04 14:29:44.803851+00:00,2025-06-04 14:29:44.805034+00:00
21,Gounguel,,Hodh El Gharbi,Benamane,,,,,,8 à    9 mois mais pendant les bonnes années elle ne tarit pas N,,"La culture de sorgho, niébé, maïs, maraichage et même le blé sont réalisées. 
	La pêche est réalisée essentiellement par les maliens jusqu'à tarissement de l'eau. 
	L'élevage est une des plus importantes activités au niveau de cette z",,La mare prend sa source principalement des mares environnantes.,,"Réaliser une cloture de toute la mare (soit 12Km) avec trois porte pour les animaux en y incluant les superficies agricoles. 
	Curage des cours d'eau qui alimentent la mare
	Réaliser une fixation des dunes à l'ouest
	Réaliser une formation en pÃ","Il y'a un surpaturage au niveau de Gounguel car tous les animaux des localités environnantes jusqu'à tintane viennent y paturer. 
	Le braconnage est une pratique fréquente malgré que la zone humide soit à l'intérieur d'une zone de gestion",Il y'a un ensablement du côté ouest de la mare.,"Sid Ahmed oud Mohamed          44 76 04 86 
	Hamoud oud Sid ahmedat       46 16 90 01",,1,2025-06-04 14:29:44.803851+00:00,2025-06-04 14:29:44.805034+00:00
22,El Vadra,,Hodh El Chargui,Adel Bagrou,,,,,,permanent mais a tarit en 2022.,,"Les spéculations cultivées sont le niébé, sorgho, Kouz et maraichage. 
	Les eleveurs passent la saison séche autour de la mare.
	La pêche est pratiquée principalement par les maliens et les produits sont exportés au Mali. Les pecheurs payent par",,La mare prend sa source des oueds du nord et du sud cependant beaucoup de barrages ont été mis sur les cours d'eau causant un tarrisement de la mare. Même avec les bonnes pluviométries la mare ne se remplie pas sauf quand il y'a une rupture de ba,,"Appuyer les agriculteurs en intrant
	Fournir des clotures aux agriculteurs
	Realiser une formation en pêche et fournir un appui materiel. 
	Regler les problématiques de barrage qui empechent la mare de se remplir.
	Fournir un appui en materiel d'irr",Les arbres sont élagués pour l'erection de clotures. Il y'a également des activités de braconnage.,Pas de problémes d'ensablement mais une perte de biodiversité est constatée.,"Cheikh Bouye Ould Cheikh Med Laghdhav 36 17 03 32
	Hamoulah Ould Mouhmed 33 01 59 11
	Abdallhi  Traoré    41 42 01 27 
	Mohamed Ali Ould CHEKHs",,1,2025-06-04 14:29:44.803851+00:00,2025-06-04 14:29:44.805034+00:00
23,Vough,,Hodh El Chargui,Ghlig Ehl Boya,,,,,,Permanent mais quand pluviométrie est faible il y'a un tarissement et dure 9 mois.,,"L'agriculture pratiqué autour de la zone humide de Vough concerne principalement le Sorgho, niébé, et Voundi
	La pêche est uniquement pratiquée par les maliens et exporter entiérement au Mali. 
	Les eleveurs de toute la zone s'empresse au nive",,,,"Realiser des cloture pour les agriculteurs pour éviter la coupe des arbres.
	Fournir des machines de pompage et irrigation. 
	Fournir des intrants et semences améliorées. 
	Fournir du petit matériel à traction animale
	Realiser une fixation des dun",Les arbres sont coupés et élagués. Ils sont également carbonisés. Il y'a un surpaturage au niveau de la mare mais aussi une forte activité de braconnage.,"Un ensablement est constaté au Nord-Est de la mare accentuée par les coupes abusives, la carbonisation et le surpaturage.","Abderrahmane ould Cheikh Mahfoudh Beya 46520617
	Mohamed Mahmoud 41143333
	Mohamed Vadel ould Salek",,1,2025-06-04 14:29:44.803851+00:00,2025-06-04 14:29:44.805034+00:00
